Class,Sub Class,Order,Sub Order,Occupations,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Males,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Females
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Irregular clergy,,,2,36,102,12,4,,156,,,6,40,40,1,,,87
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Theological student,,,,5,4,,,,9,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Church officer,,,,,38,18,7,,63,,,,,,1,,,1
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Member of religious order not classed as ministering to charity or education,,,,1,1,,,,2,,,2,4,57,3,1,,67
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Others connected with religion,,,3,3,,5,1,,12,,,,,6,,,,6
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Charity (exclusive of hospitals),Officer or servant of charitable or benevolent institution,,1,1,3,12,20,6,,42,,1,8,15,43,24,1,,92
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Charity (exclusive of hospitals),Sister of charity,,,,,,,,,,,,2,4,30,14,2,,52
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Medical man in practice,,,,8,224,111,19,,362,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Medical student,,,7,19,10,,,,36,,,1,,,,,,1
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Irregular medical practitioner and assistant,,,5,1,21,20,4,,51,,,,,4,3,,,7
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Dentist (including apprentice),,,31,33,45,28,1,,138,,,2,2,3,,,,7
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,"Pharmaceutical chemist, druggist, and assistant",,18,121,93,183,91,10,,516,,1,4,1,4,4,,,14
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,"Hospital or asylum officer, nurse, or. attendant (not elsewhere described)",,,2,17,135,64,10,,228,,,10,99,145,26,,4,284
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,"Midwife, monthly nurse",,,,,,,,,,,,,,72,156,22,1,251
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Sick-nurse,,,,1,,1,,,2,,,5,12,251,414,51,1,734
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Veterinary surgeon and assistant,,,2,,21,27,5,,55,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Health,Others,,3,3,1,9,8,4,,28,,,1,3,2,4,,,10
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Literature,"Author, editor, journalist",,,1,29,159,92,8,,289,,,2,1,4,,,,7
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Literature,"Reporter, shorthand-writer",,,8,17,30,6,,,61,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Literature,Interpreter,,,1,3,30,17,7,,58,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Literature,Others,,,1,,3,2,,,6,,,1,,5,,,,6
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Science,Analytical chemist,,,1,2,6,1,,,10,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Science,"Assayer, metallurgist",,,1,,5,4,,,10,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Science,"Geologist, mineralogist",,,,,2,2,,1,5,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Science,"Naturalist, biologist, botanist",,,,,,3,2,,5,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Science,Others,,,1,2,15,10,1,,29,,,,,2,1,,,3
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Civil engineer,,,9,11,100,87,10,,223,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Civil engineer's assistant, clerk, cadet",,1,1,1,6,1,,,10,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Mechanical engineer (directing or consulting),,,,2,25,11,,,38,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Electrician (not connected with telegraph or telephone service),",,2,3,4,7,2,,,18,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Surveyor,,,7,25,177,108,15,1,333,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Surveyor's assistant, chainman, cadet, labourer",,2,34,68,143,23,,7,277,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Architect,,,3,13,66,64,14,,160,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Architect's assistant,,1,11,5,,,1,,18,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Draughtsman (undefined, engineer's, surveyor's, architect's, railway)",,1,3,16,72,28,2,,121,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying",Others,,,,1,,,,,1,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,Officer of Education Department (includes Inspector of Schools),,1,1,6,25,16,,,49,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,"University professor, demonstrator, lecturer, &c.",,,,,12,13,,,25,,,1,,,,,,1
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,"School master, mistress, teacher, pupil-teacher",,13,240,290,760,322,17,2,"1,644",,32,692,867,856,156,12,2,"2,617"
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,"Tutor, governess",,,1,9,14,4,1,1,30,,1,70,171,220,27,5,,494
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,Teacher of languages or other accomplishments (not art or music),,,,3,18,11,1,,33,,,3,4,30,17,,,54
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Education,Others,,,3,21,14,13,3,,54,,,16,16,16,9,,,57
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Fine Arts,"Artist, painter, art student",,,7,18,38,33,9,,105,,1,14,27,32,4,2,,80
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Fine Arts,Sculptor,,,,2,2,4,1,,9,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Fine Arts,"Engraver, assistant",,1,7,8,19,8,5,,48,,,,,1,,,,1
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Fine Arts,"Photographer, assistant",,13,44,38,109,49,9,,262,,,30,35,23,7,,,95
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Fine Arts,Others,,,1,5,6,3,1,,16,,,,3,2,2,,,7
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Music,"Musician, vocalist",,,10,12,37,20,1,,80,,,5,7,14,3,,,29
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Music,Music-teacher,,,3,14,90,42,9,1,159,,1,81,180,272,82,6,,622
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Music,Others,,,,1,,2,,,3,,,2,1,,,,,3
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,"Actor, actress",,,,2,33,2,,,37,,1,4,5,16,1,,,27
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,"Theatre proprietor, lessee, manager, doorkeeper, ticket-taker",,,,3,10,4,2,,19,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,"Racecourse ranger (racing club's officer), caretaker, secretary",,1,,,6,3,,,10,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,Jockey,,17,113,70,25,1,,,231,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,"Cricket-ground, bowling-green, tennis-court caretaker, professional player",,,,,5,2,,,7,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,"Billiard-table proprietor, keeper, marker",,,4,18,40,23,,,85,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Amusements,Others,,1,2,5,27,7,3,,45,,,1,1,,1,,,3
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Board and Lodging,"Hotelkeeper (including manager, relative assisting, clerk)",,37,89,58,703,717,43,2,"1,649",,13,67,54,177,136,9,2,458
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Board and Lodging,"Coffee-house, restaurant, eating-house keeper, relative assisting",,1,,1,24,18,4,,48,,1,2,7,15,21,,,46
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Board and Lodging,"Board-and-lodging-house keeper, relative assisting",,4,5,4,88,102,22,,225,,6,10,22,239,227,36,,540
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Board and Lodging,"Manager, secretary, steward of club-house",,,1,3,19,6,1,,30,,,,,1,1,,,2
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Board and Lodging,Others,,1,3,,13,5,,,22,,,,,2,,,,2
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,Domestic servant,,128,294,170,292,138,23,4,"1,049",,"1,316","5,561","4,103","2,458",324,48,16,"13,826"
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,Housekeeper,,,,,2,2,,,4,,1,44,117,519,269,41,2,993
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Hotel, club, coffee-palace, restaurant servant (see also barman, barmaid)",,29,158,212,508,226,37,2,"1,172",,49,526,784,509,82,1,2,"1,953"
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Barman, barmaid",,1,14,32,122,30,,,199,,,35,104,55,,,1,195
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Companion, lady-help",,,,,1,,,,1,,,54,99,93,7,,1,256
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Porter, office, gatekeeper",,,1,2,5,7,,,15,,,,,1,,,,1
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Charwoman, cleaner",,,,,,2,1,,3,,,3,8,138,96,11,1,257
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Barber, hairdresser, and assistant",,14,51,73,157,46,9,1,356,,1,2,5,2,1,,,11
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Laundryman, washerwoman",,1,2,,12,14,1,,30,,13,58,55,382,284,38,,830
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,Cook (not resident),,3,18,12,186,226,14,,359,,,,,3,1,,,4
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,Watchman,,,1,,40,55,6,,102,,,,,,,,,
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,"Caretaker, attendant, office-boy",,67,59,3,35,57,19,,240,,,,,3,5,,,8
Domestic,,Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.,Attendance,Others,,3,2,4,4,14,6,,33,,,1,4,2,,1,1,9
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,"Banker, bank director, manager, inspector",,,,3,137,60,2,,202,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,"Bank officer, clerk",,,148,287,390,42,1,2,870,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,"Building society or savings-bank director, manager, officer, clerk",,,4,3,6,6,,,19,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,"Share, stock broker, speculator, mining agent, and assistant",,2,11,7,32,68,5,,125,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,"Capitalist, financier, money-broker",,,,12,83,130,69,,294,,,2,2,16,21,16,,57
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,Pawnbroker and assistant,,1,1,3,14,10,,,29,,,,,,3,,,3
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Banking and Finance,Others,,,8,4,2,16,,,30,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,"Manager, director, agent, clerk, insurance company",,7,73,106,279,94,14,,573,,,,,1,,,,1
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,"Actuary, average stater",,,1,1,2,3,1,,8,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,Underwriter,,,2,,,2,,,4,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,"Auctioneer, appraiser, valuer, clerk, assistant",,1,42,43,168,84,4,,342,,,1,,,,,,1
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,Friendly or benefit society officer,,,,,1,2,,,3,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,Official or Trade Assignee,,,1,1,4,6,,,12,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Insurance and Valuation,Others,,,,1,1,2,,,4,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,"Land owner, proprietor, speculator",,,,8,49,155,119,,331,,,,3,29,54,37,,123
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,"Land or estate agent, factor, or rent-collector and assistant",,3,15,6,88,69,19,,200,,,,,,1,,,1
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,Others connected with dealings in land,,,,,1,2,,,3,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,House proprietor,,,,1,21,168,136,,326,,,,,23,86,47,,156
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,"House agent, factor, rent-collector",,1,3,2,4,10,7,,27,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Land and Household Property,Others,,,,1,,3,,,4,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Property-rights not otherwise classed,"Patentee, owner of trade-mark, design, &c.",,,,,,2,,,2,,,,,,,,,
Commercial,Property and Finance,"Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.",Property-rights not otherwise classed,Patent or trade-marks agent,,,,1,3,2,,,6,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Bookseller, book-canvasser",,4,27,17,96,57,11,,212,,1,6,2,9,5,,,23
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Book-lender, librarian",,1,5,1,9,18,6,,40,,1,1,2,4,3,1,,12
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Advertising agent, bill-sticker, bill-distributor",,,1,,9,7,,1,18,,,,2,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","News-agent, newspaper-seller",,49,40,6,38,60,8,,201,,,,,1,,1,,2
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising",Others,,,,,3,2,,,5,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Musical Instruments,Musical-instrument dealer,,,4,8,21,4,1,,38,,,1,,1,2,,,4
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials",Picture-dealer,,,,,3,3,,,6,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials","Art, photographic materials dealer, importer",,,,,1,,,,1,,,,,1,,,,1
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials",Picture-frame dealer,,,,,1,,,,1,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Carving, figures dealer",,1,,,,,,,1,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Basket ware, wickerware dealer",,,,,,,,,,,,,1,,,,,1
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares",Fancy-goods dealer,,2,14,10,35,24,1,,86,,,9,16,34,18,3,,80
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares",Toys and minor art-products dealer,,,,,3,,,,3,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares",Others,,,,,,,,,,,,,1,,1,,,2
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Watches, Clocks, and Scientific Instruments",Watches and clocks dealer,,,,,3,,,,3,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Watches, Clocks, and Scientific Instruments",Others,,,,,,,,,,,,,1,,1,,,2
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Arms and Explosives,"Arms, explosives dealer",,,1,,,,,,1,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements",Agricultural machinery and implements dealer,,,,1,10,,,,11,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements",Sewing-machines dealer,,,4,3,24,8,2,,41,,,2,6,5,,,1,14
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements","Other machine tools, implements, and machinery dealer",,,,,5,1,,,6,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements",Others,,,,,2,,,,2,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware",Harness and saddlery dealer,,,3,1,4,1,,,9,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware",Saddlers' ironmongery dealer,,,,,4,,,,4,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware",Leatherware dealer,,,,1,3,8,,,12,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware",Others,,,,,,,,,,,,,,,1,,,1
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ships, Boats, and Marine Stores",Ships and boats dealer,,,,,2,1,,,3,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ships, Boats, and Marine Stores","Other marine stores dealer, ship-chandler",,,2,3,5,5,1,,16,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Building Materials and House-fittings,"Oil and colour man, paperhangings, wall-paper seller",,2,2,3,14,7,,,28,,,,1,,1,,,2
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Building Materials and House-fittings,Timber merchant,,7,23,24,127,92,3,,276,,,,,1,,,,1
