"Class","Sub Class","Order","Sub Order","Occupations","Gender","Age Group","Count"
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Others","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Board and Lodging","Hotelkeeper (including manager, relative assisting, clerk)","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Board and Lodging","Coffee-house, restaurant, eating-house keeper, relative assisting","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Board and Lodging","Board-and-lodging-house keeper, relative assisting","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Board and Lodging","Manager, secretary, steward of club-house","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Board and Lodging","Others","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Domestic servant","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Housekeeper","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Hotel, club, coffee-palace, restaurant servant (see also barman, barmaid)","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Barman, barmaid","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Companion, lady-help","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Porter, office, gatekeeper","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Charwoman, cleaner","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Barber, hairdresser, and assistant","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Laundryman, washerwoman","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Cook (not resident)","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Watchman","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Caretaker, attendant, office-boy","Female","Under 5 Years",NA
"Domestic",NA,"Persons engaged in the Supply of Board and Lodging and in rendering Personal Service for which Remuneration is usually paid.","Attendance","Others","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Banker, bank director, manager, inspector","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Bank officer, clerk","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Building society or savings-bank director, manager, officer, clerk","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Share, stock broker, speculator, mining agent, and assistant","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Capitalist, financier, money-broker","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Pawnbroker and assistant","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Banking and Finance","Others","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Manager, director, agent, clerk, insurance company","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Actuary, average stater","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Underwriter","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Auctioneer, appraiser, valuer, clerk, assistant","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Friendly or benefit society officer","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Official or Trade Assignee","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Insurance and Valuation","Others","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","Land owner, proprietor, speculator","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","Land or estate agent, factor, or rent-collector and assistant","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","Others connected with dealings in land","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","House proprietor","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","House agent, factor, rent-collector","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Land and Household Property","Others","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Property-rights not otherwise classed","Patentee, owner of trade-mark, design, &c.","Female","Under 5 Years",NA
"Commercial","Property and Finance","Persons who perform Offices in connection with the Exchange, Valuation, Insurance, Lease, Loan, or Custody of Money, Houses, Land, or Property-rights.","Property-rights not otherwise classed","Patent or trade-marks agent","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Bookseller, book-canvasser","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Book-lender, librarian","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Advertising agent, bill-sticker, bill-distributor","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","News-agent, newspaper-seller","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Books, Publications, and Advertising","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Musical Instruments","Musical-instrument dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials","Picture-dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials","Art, photographic materials dealer, importer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Prints, Pictures, and Art-materials","Picture-frame dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Carving, figures dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Basket ware, wickerware dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Fancy-goods dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Toys and minor art-products dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ornaments, Minor Art-products, and Small Wares","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Watches, Clocks, and Scientific Instruments","Watches and clocks dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Watches, Clocks, and Scientific Instruments","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Arms and Explosives","Arms, explosives dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements","Agricultural machinery and implements dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements","Sewing-machines dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements","Other machine tools, implements, and machinery dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Machines, Tools, and Implements","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware","Harness and saddlery dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware","Saddlers' ironmongery dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware","Leatherware dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Harness, Saddlery, and Leatherware","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ships, Boats, and Marine Stores","Ships and boats dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Ships, Boats, and Marine Stores","Other marine stores dealer, ship-chandler","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Building Materials and House-fittings","Oil and colour man, paperhangings, wall-paper seller","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Building Materials and House-fittings","Timber merchant","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Furniture","Furniture dealer, hirer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Chemicals and By-products","Chemical materials (not drugs) dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Chemicals and By-products","Chemical by-products dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Chemicals and By-products","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials","Paper dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials","Stationer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials","Rag, waste-paper dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Textile Fabrics","Manchester warehouseman","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Textile Fabrics","Draper, linen, woollen draper","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Textile Fabrics","Silk dealer, mercer","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Textile Fabrics","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Clothes dealer, outfitter, slop-seller","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Hosier, hatter, haberdasher, glover","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Shoe, boot dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Umbrella, parasol, stick dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Fur, rug dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Second-hand clothes dealer","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Dress","Others","Female","Under 5 Years",NA
"Commercial","Trade","Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.","Fibrous Materials","Tent, tarpaulin dealer and assistant","Female","Under 5 Years",NA
